case_id,response_id,error_type,location,cause,solution,clarity,total
case1,response1,TypeError,1,1,1,0.5,3.5
case1,response2,TypeError,1,1,1,0.5,3.5
case1,response3,TypeError,1,1,0.5,0.5,3
case2,response1,ReferenceError,1,1,0.5,0.5,3
case2,response2,ReferenceError,1,1,0,0.5,2.5
case2,response3,ReferenceError,1,1,1,1,4
case3,response1,UnhandledPromiseRejection,0.5,0.5,0,0.5,1.5
case3,response2,UnhandledPromiseRejection,0.5,0.5,0,0.5,1.5
case3,response3,UnhandledPromiseRejection,0.5,0.5,0,0.5,1.5
case4,response1,SyntaxError,1,1,0.5,0.5,3
case4,response2,SyntaxError,1,1,1,0.5,3.5
case4,response3,SyntaxError,1,1,1,1,4
case5,response1,ENOENT,1,1,1,1,4
case5,response2,ENOENT,1,1,0.5,0.5,3
case5,response3,ENOENT,1,1,0.5,0.5,3
case6,response1,TypeError,0.5,0,0,0.5,1
case6,response2,TypeError,0.5,0,0,0.5,1
case6,response3,TypeError,0.5,0,0,0.5,1
case7,response1,MODULE_NOT_FOUND,1,1,1,1,4
case7,response2,MODULE_NOT_FOUND,1,1,1,1,4
case7,response3,MODULE_NOT_FOUND,1,1,1,1,4
case8,response1,TypeError,1,1,1,1,4
case8,response2,TypeError,1,1,1,1,4
case8,response3,TypeError,1,1,1,1,4
case9,response1,Error,1,0,0.5,0,1.5
case9,response2,Error,1,0,0.5,0.5,2
case9,response3,Error,1,0,0.5,0.5,2
case10,response1,TypeError,1,1,0.5,1,3.5
case10,response2,TypeError,1,1,0.5,0.5,3
case10,response3,TypeError,1,1,0.5,0.5,3
case11,response1,RangeError,1,1,1,1,4
case11,response2,RangeError,1,1,0.5,1,3.5
case11,response3,RangeError,1,1,1,1,4
case12,response1,RangeError,0,0,0,1,1
case12,response2,RangeError,1,0.5,0,1,2.5
case12,response3,RangeError,1,0.5,0.5,1,3
